TIME,light(lx),temperature(C),humidity(%),pressure(hPa),V_rain
2020-03-15 15:13:00,220.83,21.79,38.20,977.02,0.00
2020-03-15 15:14:00,220.83,21.78,38.10,977.02,0.00
2020-03-15 15:15:00,220.83,21.76,37.44,977.05,0.00
2020-03-15 15:16:00,220.83,21.74,37.63,977.06,0.00
2020-03-15 15:17:00,220.83,21.74,39.31,977.08,0.00
2020-03-15 15:18:00,220.00,21.72,43.30,977.07,0.00
2020-03-15 15:19:00,220.83,21.73,44.66,977.07,0.00
2020-03-15 15:20:00,221.67,21.74,41.54,977.06,0.00
2020-03-15 15:21:00,221.67,21.75,40.22,977.02,0.00
2020-03-15 15:22:00,220.83,21.76,39.30,976.99,0.00
2020-03-15 15:23:00,220.83,21.77,38.99,976.97,0.00
2020-03-15 15:24:00,220.00,21.76,38.80,976.98,0.00
2020-03-15 15:25:00,220.00,21.76,38.37,976.92,0.00
2020-03-15 15:26:00,220.00,21.73,37.94,976.88,0.00
2020-03-15 15:27:00,220.00,21.73,37.79,976.86,0.00
2020-03-15 15:28:00,220.00,21.71,37.70,976.84,0.00
2020-03-15 15:29:00,220.00,21.69,37.60,976.85,0.00
2020-03-15 15:30:00,220.00,21.67,39.43,976.83,0.00
2020-03-15 15:31:00,220.00,21.68,42.39,976.85,0.00
2020-03-15 15:32:00,220.00,21.69,44.17,976.86,0.00
2020-03-15 15:33:00,220.83,21.71,41.99,976.87,0.00
2020-03-15 15:34:00,220.83,21.71,40.07,976.85,0.00
2020-03-15 15:35:00,220.83,21.72,39.34,976.81,0.00
2020-03-15 15:36:00,220.83,21.72,39.31,976.82,0.00
2020-03-15 15:37:00,220.00,21.72,38.80,976.75,0.00
2020-03-15 15:38:00,220.00,21.72,38.44,976.76,0.00
2020-03-15 15:39:00,220.00,21.69,38.16,976.73,0.00
2020-03-15 15:40:00,218.33,21.68,37.81,976.71,0.00
2020-03-15 15:41:00,217.50,21.64,37.80,976.68,0.00
2020-03-15 15:42:00,216.67,21.65,41.71,976.67,5.50
2020-03-15 15:43:00,218.33,21.66,43.49,976.73,77.00
2020-03-15 15:44:00,219.17,21.67,44.57,976.70,77.00
2020-03-15 15:45:00,225.83,21.70,40.85,976.68,88.00
2020-03-15 15:46:00,225.83,21.71,39.67,976.67,88.00
2020-03-15 15:47:00,225.83,21.71,39.63,976.65,99.00
2020-03-15 15:48:00,224.17,21.70,39.00,976.68,115.50
2020-03-15 15:49:00,223.33,21.72,42.99,976.69,115.50
2020-03-15 15:50:00,280.00,21.74,44.96,976.75,154.00
2020-03-15 15:51:00,281.67,21.78,45.64,976.70,170.50
2020-03-15 15:52:00,281.67,21.80,46.02,976.74,181.50
2020-03-15 15:53:00,281.67,21.86,47.39,976.77,192.50
2020-03-15 15:54:00,282.50,21.91,47.76,976.85,198.00
2020-03-15 15:55:00,281.67,21.96,47.57,976.80,198.00
2020-03-15 16:17:00,280.00,22.66,45.58,976.71,0.00
2020-03-15 16:18:00,278.33,22.67,48.70,976.72,0.00
2020-03-15 16:19:00,36.67,22.68,49.23,976.74,0.00
2020-03-15 16:20:00,36.67,22.69,46.96,976.73,0.00
2020-03-15 16:21:00,36.67,22.69,45.39,976.77,0.00
2020-03-15 16:22:00,35.83,22.68,44.47,976.78,0.00
2020-03-15 16:23:00,35.83,22.69,47.74,976.81,0.00
2020-03-15 16:24:00,35.83,22.70,49.00,976.84,0.00
2020-03-15 16:25:00,35.83,22.71,49.56,976.87,0.00
2020-03-15 16:26:00,35.00,22.73,46.48,976.89,0.00
2020-03-15 16:27:00,34.17,22.73,45.32,976.92,0.00
2020-03-15 16:28:00,34.17,22.71,44.56,976.89,0.00
2020-03-15 16:29:00,34.17,22.72,47.60,976.87,0.00
2020-03-15 16:30:00,33.33,22.74,49.74,976.93,0.00
2020-03-15 16:31:00,33.33,22.75,50.40,976.94,0.00
2020-03-15 16:33:00,33.33,22.77,45.79,976.95,4.91
2020-03-15 16:34:00,33.33,22.77,44.99,976.97,0.00
